Order (v,c,l)
,,
Random VM's (range 5-25),,
Fixed => c=1000, l=1000,
Order(Default Algo, LBACO Algo, no of vms)
398.8149528757,370.4269662921,5
320.2207293666,234.7506082725,6
246.0084110025,204.1759189404,7
198.0375,169.5005202914,9
118.1215106732,109.8423259367,14
133.0775347913,106.0389337362,15
102.1529552905,83.0079061665,17
103.8949755534,93.8686868687,18
93.85518591,76.6231977106,21
76.4693503119,65.0661241099,24
,,
,,
Random Cloudlets (),,
Fixed => v=20, l=1000,
Order(Default Algo, LBACO Algo, no of cloudlets)
55.92546727,44.808807837,600
83.5873605948,67.9530285472,800
88.3693516699,71.4272418378,900
105.2873563218,75.9383457523,1000
94.4952599155,72.5001929598,1000
109.9316831683,78.7292861213,1100
119.9199999999,93.1453940067,1200
126.5902941433,103.2367101304,1300
157.9977815648,151.7625754527,1600
189.1107000569,140.5919661734,1900
,,
,,
Random cloudlet length,,
Fixed => v=20, c=1000,
Order(Default Algo, LBACO Algo),
47.2520563138,40.7723595506,
55.3636363636,43.0783695652,
50.4511773472,42.5948171501,
55.944563591,40.9559013283,
53.6968341709,45.8157134192,
53.4697635232,42.2624932109,
55.4790015601,47.4492893792,
51.8386013986,42.0253669222,
